# radius density temperature c12 ne20 ne22
616
2.000000000000000e+05  2.224564997309651e+09  8.235110613662282e+08  1.388669026133691e-01  2.321620696942732e-01  5.532719877198147e-02
6.000000000000000e+05  2.224302768309524e+09  8.234564503328811e+08  1.388669307601916e-01  2.321620349627051e-01  5.532719855488010e-02
1.000000000000000e+06  2.223778642550586e+09  8.233368706465474e+08  1.388670090409726e-01  2.321619383719299e-01  5.532719795064391e-02
1.400000000000000e+06  2.222993523660945e+09  8.231203254971981e+08  1.388671881898577e-01  2.321617173454563e-01  5.532719656487754e-02
1.800000000000000e+06  2.221944841924911e+09  8.229463039861523e+08  1.388673365259734e-01  2.321615343383322e-01  5.532719541702776e-02
2.200000000000000e+06  2.220636019595533e+09  8.226737162616904e+08  1.388675977163738e-01  2.321612121488497e-01  5.532719339082506e-02
2.600000000000000e+06  2.219066543353482e+09  8.223549479577142e+08  1.388679260524204e-01  2.321608071997245e-01  5.532719083742994e-02
3.000000000000000e+06  2.217237070450601e+09  8.219920241290883e+08  1.388683229584433e-01  2.321603177746403e-01  5.532718774249445e-02
3.400000000000000e+06  2.215148538456125e+09  8.215790647440187e+08  1.388687956286146e-01  2.321597350459639e-01  5.532718404669965e-02
3.800000000000000e+06  2.212802048556592e+09  8.211078029701245e+08  1.388693527921744e-01  2.321590482864823e-01  5.532717967949777e-02
4.200000000000000e+06  2.210198462083647e+09  8.205868755716076e+08  1.388699901073785e-01  2.321582629366566e-01  5.532717466842031e-02
4.600000000000000e+06  2.207338946969075e+09  8.200156339155828e+08  1.388707092287546e-01  2.321573770352605e-01  5.532716899543184e-02
5.000000000000000e+06  2.204224757388547e+09  8.193946333465554e+08  1.388715111943639e-01  2.321563893866182e-01  5.532716264683935e-02
5.400000000000000e+06  2.200857222370100e+09  8.187261366457078e+08  1.388723931803092e-01  2.321553034992661e-01  5.532715564322963e-02
5.800000000000000e+06  2.197237511219761e+09  8.180253682866259e+08  1.388733410348076e-01  2.321541372195643e-01  5.532714807061898e-02
6.200000000000000e+06  2.193367363432393e+09  8.172853474424049e+08  1.388743612468303e-01  2.321528823644842e-01  5.532713988956673e-02
6.600000000000000e+06  2.189248717924745e+09  8.164945541930979e+08  1.388754663989649e-01  2.321515236892897e-01  5.532713098735006e-02
7.000000000000000e+06  2.184883338891118e+09  8.156549082876250e+08  1.388766542230540e-01  2.321500639495362e-01  5.532712138388182e-02
7.400000000000000e+06  2.180273280009756e+09  8.147593120559455e+08  1.388779311542936e-01  2.321484954064130e-01  5.532711101839284e-02
7.800000000000000e+06  2.175420385456839e+09  8.138156965365872e+08  1.388792880521178e-01  2.321468293842821e-01  5.532709995943383e-02
8.200000000000000e+06  2.170326243160727e+09  8.128493683230962e+08  1.388806931724002e-01  2.321451055788968e-01  5.532708842548959e-02
8.600000000000000e+06  2.164993650295012e+09  8.118317436544461e+08  1.388821802076620e-01  2.321432821599255e-01  5.532707616902258e-02
9.000000000000000e+06  2.159425079464286e+09  8.107544983978354e+08  1.388837588642471e-01  2.321413472196991e-01  5.532706311134795e-02
9.400000000000000e+06  2.153622663852742e+09  8.096304109264507e+08  1.388854117345142e-01  2.321393224957415e-01  5.532704937449465e-02
9.800000000000000e+06  2.147588616628992e+09  8.084729797401239e+08  1.388871183479939e-01  2.321372335614308e-01  5.532703510180141e-02
1.020000000000000e+07  2.141325765251491e+09  8.072701138566251e+08  1.388888932037337e-01  2.321350625254679e-01  5.532702018110022e-02
1.060000000000000e+07  2.134836695026414e+09  8.060258297161813e+08  1.388907303027395e-01  2.321328169143259e-01  5.532700465303424e-02
1.100000000000000e+07  2.128121867057833e+09  8.048531917159607e+08  1.388924602016229e-01  2.321307041220583e-01  5.532698993593450e-02
1.140000000000000e+07  2.121191244357360e+09  8.034011129937720e+08  1.388945991624260e-01  2.321280925488482e-01  5.532697169503600e-02
1.180000000000000e+07  2.114040568743213e+09  8.020227245965760e+08  1.388966212963347e-01  2.321256259546225e-01  5.532695432654577e-02
1.220000000000000e+07  2.106675180802092e+09  8.006028212893544e+08  1.388986982362724e-01  2.321230944190064e-01  5.532693638651405e-02
1.260000000000000e+07  2.099098270427114e+09  7.991356349727095e+08  1.389008366330049e-01  2.321204897181464e-01  5.532691782379836e-02
1.300000000000000e+07  2.091299600224909e+09  7.982894255833637e+08  1.389020597223785e-01  2.321190016861835e-01  5.532690711370995e-02
1.340000000000000e+07  2.083321939540330e+09  7.960923839372504e+08  1.389052300889525e-01  2.321151454272593e-01  5.532687930668989e-02
1.380000000000000e+07  2.075129247031034e+09  7.945030114443884e+08  1.389075067567894e-01  2.321123789981743e-01  5.532685919155601e-02
1.420000000000000e+07  2.066737835067851e+09  7.928770168659027e+08  1.389098158411792e-01  2.321095757664155e-01  5.532683865365962e-02
1.460000000000000e+07  2.058151216233217e+09  7.912099105148067e+08  1.389121648307521e-01  2.321067264218738e-01  5.532681763732052e-02
1.500000000000000e+07  2.049372846615878e+09  7.895031631641881e+08  1.389145499130986e-01  2.321038357242268e-01  5.532679616894231e-02
1.540000000000000e+07  2.040393485637905e+09  7.884062602613198e+08  1.389160715268633e-01  2.321019929256756e-01  5.532678239877647e-02
1.580000000000000e+07  2.031255091834707e+09  7.859740358491435e+08  1.389194219454043e-01  2.320979385353408e-01  5.532675190396955e-02
1.620000000000000e+07  2.021911607879765e+09  7.847295250825348e+08  1.389211315433663e-01  2.320958717341843e-01  5.532673623427325e-02
1.660000000000000e+07  2.012413651874521e+09  7.822847733126812e+08  1.389244840610214e-01  2.320918216331511e-01  5.532670534863569e-02
